tract,sqkm,numlfls,lflsperarea
25,984.2735772,6,0.006095866
26,1244.751088,4,0.003213494
56,2984.606709,1,0.000335053
68,718.0698638,10,0.013926222
60,1313.478957,3,0.002284011
59,1812.66754,1,0.000551673
57,4974.22226,3,0.000603109
49,1095.213014,2,0.001826129
58.01,1821.022837,1,0.000549142
48,1336.606014,2,0.001496327
47,1986.384004,4,0.002013709
32,2065.086186,9,0.004358172
35,1284.685615,3,0.002335202
34,787.1051713,3,0.003811435
33,1296.292199,6,0.004628586
28,983.3278791,4,0.004067819
29,986.1456241,5,0.005070245
30,1493.159604,9,0.006027487
31,2147.681332,9,0.004190566
17.01,892.7108321,3,0.003360551
17.02,1280.139767,2,0.001562329
16,1929.333909,5,0.002591568
15,1145.962232,2,0.001745258
2,3286.082487,4,0.001217255
27,1593.673737,10,0.00627481
22,2764.985331,5,0.001808328
24,978.0433639,1,0.00102245
20,1131.899351,6,0.005300825
21,1365.374308,1,0.0007324
19,1663.14204,6,0.003607629
18,942.9097039,0,0
9,949.893273,3,0.00315825
13,1183.913685,0,0
11,1060.349142,2,0.001886171
10,954.3939208,2,0.002095571
12,1833.924606,1,0.000545279
8,1141.510227,1,0.000876032
6,3837.6907,3,0.00078172
7,1294.584864,4,0.003089794
1,1849.119717,1,0.000540798
3,1210.423316,1,0.000826157
41,3188.240449,7,0.002195568
52,964.7412932,1,0.001036547
51,881.6636776,4,0.004536877
53.01,543.4517191,0,0
50,757.3402474,3,0.003961231
42,2463.860293,10,0.004058672
43.01,979.3022936,2,0.00204227
43.02,330.6962071,0,0
40,2482.714356,4,0.00161114
44,989.8449728,3,0.003030778
45,670.9593094,1,0.001490403
46,1546.882721,8,0.005171691
36,1196.383764,7,0.005850965
39,973.7487437,2,0.002053918
38,624.5683099,2,0.003202212
14,2128.50281,2,0.000939628
4.02,1798.805875,5,0.002779622
4.01,1363.674912,0,0
78,2080.406359,6,0.002884052
92,312.8012639,1,0.003196918
88,948.5430896,5,0.005271242
87,732.3597399,3,0.004096348
86,711.3302848,1,0.001405817
85,474.1953973,2,0.004217671
81,835.0303332,1,0.001197561
82,366.6927412,0,0
83,237.4403036,0,0
84,382.6001944,0,0
79,698.4434553,1,0.001431755
75,801.7097674,1,0.001247334
77,1058.278808,3,0.002834792
73,926.0038429,0,0
74.02,249.2728864,0,0
76,571.8534806,0,0
74.01,259.3743662,0,0
63,2311.60285,0,0
62,2539.383281,7,0.002756575
65,1147.561747,2,0.001742826
66,1022.105213,2,0.001956746
64,903.6084588,3,0.003320022
67,1233.161632,2,0.001621847
61,1118.652362,1,0.000893933
54,1198.39477,3,0.002503349
53.02,2336.324782,0,0
117,3498.756686,0,0
118,2322.75187,1,0.000430524
264,64.37037015,0,0
265,406.7172436,0,0
110.02,1676.078124,0,0
110.01,1070.751088,0,0
111.02,1297.859167,1,0.0007705
111.01,1150.343954,0,0
102,2786.839693,5,0.001794147
103,1660.203838,3,0.001807007
104.01,1616.828111,0,0
104.02,1798.853099,5,0.002779549
93,9476.963285,1,0.000105519
100.01,2314.130822,0,0
101,2494.925767,6,0.002404881
95,2546.131924,5,0.001963763
100.02,948.2237762,2,0.002109207
94,1723.013616,1,0.000580378
89,1271.932718,1,0.000786205
90,820.7008446,1,0.001218471
91,418.8166126,0,0
121,1708.965153,0,0
120,1447.499266,1,0.000690847
114.02,1186.117175,0,0
116,3114.337013,2,0.000642191
113,3199.41085,1,0.000312558
115,1538.350539,4,0.002600188
114.01,1233.135617,1,0.000810941
108,4049.561276,0,0
107.01,1456.425783,2,0.001373225
106,2525.681655,2,0.000791865
107.02,784.6977932,0,0
105,1717.880741,5,0.002910563
99,6525.893599,5,0.000766179
97.02,2219.002815,6,0.002703917
97.01,1792.207727,2,0.001115942
98,1930.58108,6,0.003107873
96,1832.774367,2,0.001091242
80.01,486.5741258,0,0
80.02,229.0509793,1,0.00436584
72,1010.227735,0,0
71,862.0539568,0,0
58.02,3090.28201,1,0.000323595
70,805.9203624,2,0.002481635
69,902.8449863,2,0.00221522
260.01,60.70196886,0,0
5,2798.15591,3,0.001072135
109,4813.254792,1,0.00020776
112,2758.666652,2,0.000724988
119,3130.157497,2,0.000638945
