tract,pop
1,7985
2,8498
3,2991
4.01,6560
4.02,5419
5,3143
6,8124
7,5217
8,2710
9,2009
10,2055
11,2752
12,7124
13,4702
14,5674
15,2752
16,4758
17.01,4024
17.02,5018
18,5246
19,4971
20,3754
21,4350
22,5867
24,3224
25,3357
26,5268
27,6415
28,4925
29,4863
30,6314
31,6452
32,8813
33,7560
34,3630
35,4218
36,7122
38,2362
39,3070
40,3237
41,8106
42,8588
43.01,3827
43.02,4116
44,7634
45,3348
46,3623
47,9409
48,5213
49,7058
50,4011
51,3716
52,6674
53.01,8226
53.02,5320
54,6120
56,6954
57,6864
58.01,5351
58.02,5853
59,8030
60,5915
61,5312
62,4578
63,5945
64,3616
65,4995
66,4245
67,9508
68,3356
69,5121
70,7477
71,5041
72,10403
73,7402
74.01,5502
74.02,5560
75,9289
76,4389
77,5382
78,5675
79,6228
80.01,7182
80.02,3688
81,4706
82,4286
83,3265
84,4865
85,4195
86,6079
87,4573
88,4435
89,6068
90,3457
91,2464
92,2763
93,2637
94,7243
95,6517
96,5663
97.01,6233
97.02,5596
98,7201
99,6180
100.01,4516
100.02,4925
101,8943
102,4762
103,7305
104.01,4382
104.02,4933
105,8303
106,8466
107.01,3907
107.02,4930
108,4862
109,1115
110.01,4777
110.02,4765
111.01,5546
111.02,4747
112,3705
113,6973
114.01,4347
114.02,4316
115,4509
116,7049
117,5379
118,8520
119,7649
120,3622
121,2660
201,3279
202,5395
203,7128
204.01,3760
204.02,5613
205,6669
206,3620
207,3791
208,4273
209,3645
210,6010
211,4485
213,4047
214,4064
215,4611
216,5038
217,8655
218.02,5818
218.03,4943
218.04,5133
219.03,6404
219.04,5007
219.05,5674
219.06,4550
220.01,5552
220.03,5069
220.05,4964
220.06,3907
221.01,4847
221.02,6463
222.01,4430
222.02,7509
222.03,4918
223,2779
224,8611
225,8414
226.03,6173
226.04,5069
226.05,6347
226.06,6087
227.01,3315
227.02,4182
227.03,2357
228.01,9233
228.02,5340
228.03,6083
229.01,2992
229.02,6573
230,5718
231,4143
232.01,6639
232.02,4724
233,6721
234.01,3980
234.03,4257
234.04,3438
235,3788
236.01,4252
236.03,6649
236.04,6616
237,4425
238.01,3074
238.03,5339
238.04,7397
239,7067
240,7674
241,4895
242,3253
243,8736
244,3117
245,5195
246.01,4573
246.02,3871
247.01,4068
247.02,7732
248,5990
249.01,5428
249.02,4065
249.03,7114
250.01,5127
250.03,6863
250.05,5133
250.06,6164
251.01,6675
251.02,7878
252,8985
253.01,6330
253.02,5583
254,7445
255,4794
256.01,5644
256.02,6356
257.01,6215
257.02,3577
258.03,4755
258.04,3614
258.05,5197
258.06,5329
260.01,5704
260.02,8529
261,8327
262,5743
263,1616
264,6198
265,4392
266,2538
267,5291
268.01,5883
268.02,5562
270,3147
271,3885
272,2607
273,5786
274,5224
275,4852
276,4757
277.01,5008
277.02,5028
278,3403
279,7955
280,4554
281,2649
282,4929
283,5241
284.02,5254
284.03,5379
285,4263
286,6556
287,5205
288.01,3260
288.02,6631
289.01,3304
289.02,7525
290.01,4574
290.03,5493
290.04,4078
291.01,3096
291.02,4324
292.03,4244
292.04,7360
292.05,4659
292.06,4409
293.03,7473
293.04,5237
293.05,4256
293.06,3651
293.07,4244
294.03,5876
294.05,5690
294.06,5174
294.07,4639
294.08,3993
295.02,7516
295.03,8828
295.04,6103
296.01,7134
296.02,6235
297,8219
298.01,9944
298.02,9213
299.01,4725
299.02,4226
300.03,6309
300.04,8736
300.05,5923
300.06,4000
301,7711
302.01,5391
302.02,6970
303.04,3868
303.05,5273
303.06,5527
303.08,7029
303.09,5783
303.1,6298
303.11,5311
303.12,4777
303.13,4511
303.14,4438
304.01,9689
304.03,4472
304.04,4961
305.01,1907
305.03,5802
305.04,4690
306,5592
307,4101
308.01,7091
308.02,3588
309.01,3583
309.02,6455
310,4247
311,7701
312.02,6310
312.04,5976
312.05,7252
312.06,5475
313.01,2670
313.02,4253
314,5943
315.01,4083
315.02,4219
316.01,5573
316.03,6515
316.04,5777
316.05,4200
317.03,6829
317.04,5728
317.05,4271
317.06,7884
318,4719
319.03,6801
319.04,3417
319.06,3958
319.07,8159
319.08,4375
319.09,3080
320.02,3191
320.03,5547
320.05,6877
320.06,5612
320.07,3385
320.08,4658
320.1,6071
320.11,4435
321.02,5150
321.03,5397
321.04,6172
322.03,8032
322.07,3930
322.08,9764
322.1,14540
322.11,5124
322.12,8337
322.13,4337
322.14,6706
322.15,5034
323.07,6093
323.09,8249
323.11,6730
323.13,6551
323.15,5280
323.16,5654
323.17,6402
323.18,6712
323.19,5941
323.2,4535
323.21,6365
323.22,3560
323.23,5888
323.24,5292
323.25,5805
323.26,3960
323.27,4201
323.28,3490
323.29,9101
324.01,6132
324.02,6847
325,5381
326.01,3219
326.02,14018
327.02,6720
327.03,2285
327.04,7051
328,2347
9901,0
