tract,collegePlus
323.09,4949
317.04,893
323.13,3360
323.19,2069
323.21,3353
323.24,2611
324.01,2010
288.02,910
293.04,1502
301.0,2032
303.04,724
306.0,418
308.02,364
310.0,1512
318.0,1355
303.1,1383
292.03,381
295.02,1260
295.04,592
307.0,315
309.02,760
313.01,410
315.01,730
315.02,942
319.06,1228
319.09,1060
322.12,4017
323.16,2769
323.2,2031
327.02,2048
323.22,1640
327.04,1886
312.06,805
302.01,976
304.01,1835
312.05,1329
316.01,1383
293.06,631
294.08,428
296.01,904
109.0,400
67.0,6647
101.0,3371
111.02,1726
325.0,1885
4.01,1837
13.0,1896
15.0,1286
21.0,2242
36.0,4325
38.0,1266
61.0,3392
326.02,6049
327.03,681
311.0,954
312.02,1237
25.0,1919
26.0,2686
45.0,1710
47.0,6060
51.0,2242
319.08,973
5.0,1753
9.0,1187
11.0,1275
28.0,2742
29.0,2471
31.0,3277
39.0,1575
42.0,4674
46.0,2098
60.0,3295
63.0,3662
77.0,3107
83.0,1640
89.0,2731
91.0,753
94.0,2740
96.0,3120
97.01,3401
99.0,2873
117.0,1001
102.0,2521
105.0,3996
111.01,1204
201.0,1577
207.0,1046
208.0,1868
209.0,1553
210.0,2104
220.01,2229
205.0,2263
214.0,1727
220.03,2008
223.0,1518
48.0,3061
222.02,3372
222.03,2247
58.01,2726
4.02,2229
54.0,4034
323.18,3412
226.06,2767
244.0,1566
260.01,1603
2.0,3642
70.0,4748
95.0,3068
284.03,719
305.01,179
313.02,475
16.0,2257
239.0,3751
279.0,1623
32.0,5152
56.0,3808
93.0,1070
213.0,1543
298.01,1906
97.02,2800
216.0,2216
309.01,288
40.0,1694
78.0,3497
3.0,909
33.0,4296
204.02,2108
220.06,1729
226.04,2253
227.02,1800
228.01,5524
228.03,3409
230.0,2725
236.03,2773
257.02,942
264.0,879
271.0,536
274.0,884
275.0,630
288.01,525
289.01,851
292.04,1149
293.05,1109
300.03,1432
302.02,1340
303.05,1311
305.03,734
305.04,554
308.01,234
312.04,1524
319.04,908
320.08,985
322.07,1939
322.1,6625
320.03,1444
320.07,976
323.11,2531
115.0,1841
116.0,3460
206.0,1112
217.0,3240
218.03,1476
219.06,1588
300.04,1222
303.11,846
303.12,694
304.04,813
314.0,921
317.03,1819
7.0,1849
22.0,3164
24.0,1702
30.0,3142
66.0,2832
69.0,3014
82.0,2646
118.0,1913
202.0,2239
203.0,2376
215.0,2172
221.02,2939
227.03,1149
65.0,3228
75.0,5558
80.01,5294
81.0,2134
86.0,1525
204.01,1294
108.0,1996
112.0,774
119.0,1832
218.04,1878
220.05,2134
222.01,1539
231.0,1907
233.0,2624
234.01,1661
59.0,3613
52.0,2141
57.0,3481
58.02,3253
62.0,2951
73.0,4142
76.0,2601
79.0,3381
92.0,856
120.0,1389
211.0,1557
219.04,1691
219.05,2036
227.01,1825
232.01,3941
242.0,1758
243.0,4918
246.02,2110
248.0,2084
249.03,3686
250.03,3426
252.0,2711
261.0,1158
267.0,1423
273.0,865
276.0,1091
294.05,1243
296.02,1511
299.01,786
303.06,1128
303.08,1187
303.09,1300
304.03,1146
284.02,729
241.0,2607
247.02,3256
249.01,2965
324.02,2144
328.0,792
12.0,2383
1.0,2658
8.0,1307
10.0,847
19.0,2413
34.0,2035
229.02,3608
226.03,2396
226.05,2583
228.02,2689
232.02,1380
237.0,2313
245.0,2927
246.01,2775
255.0,908
257.01,1558
265.0,374
270.0,394
277.01,2094
282.0,742
35.0,2603
44.0,3037
53.01,1282
64.0,2169
80.02,1825
84.0,2340
88.0,2247
90.0,1287
98.0,3428
260.02,1635
236.04,2413
229.01,1469
235.0,1738
249.02,1952
251.01,1749
254.0,1278
258.03,764
266.0,611
268.01,885
272.0,426
290.01,1071
294.03,1075
294.07,657
295.03,776
218.02,2121
247.01,1408
219.03,2536
221.01,2009
236.01,2133
262.0,1332
277.02,2318
298.02,1562
299.02,925
323.23,2804
319.03,1731
321.02,1912
322.11,2439
6.0,2871
263.0,159
278.0,1500
280.0,438
113.0,1470
283.0,1197
285.0,679
286.0,2575
290.03,613
293.03,2056
293.07,1101
294.06,1271
297.0,891
316.03,1490
319.07,2701
320.02,754
321.03,1787
323.07,2414
320.05,1134
322.03,3845
322.08,4623
326.01,896
14.0,2609
18.0,2745
20.0,1745
17.01,2110
17.02,2252
43.01,1836
43.02,974
74.01,3684
74.02,2610
100.01,1265
100.02,1801
104.01,1278
104.02,1169
107.01,1119
107.02,1038
110.01,828
110.02,590
114.01,1016
114.02,1096
234.03,2063
234.04,1749
238.03,3630
238.04,4787
250.05,2555
250.06,3101
253.01,2138
253.02,1198
256.01,1345
256.02,1953
258.05,1290
258.06,1392
291.01,827
291.02,621
292.05,1079
292.06,442
300.05,462
300.06,495
303.13,578
303.14,608
316.04,1489
320.1,1897
316.05,1207
317.05,982
317.06,1385
320.11,1198
322.13,2117
322.14,3312
322.15,2706
323.26,1634
323.27,2389
323.28,1523
323.29,4534
9901.0,0
224.0,4449
225.0,4624
238.01,1597
240.0,4142
250.01,2545
251.02,2460
258.04,738
268.02,700
281.0,245
287.0,1091
289.02,731
290.04,159
323.15,2210
27.0,3383
41.0,4865
49.0,4058
50.0,2332
53.02,106
68.0,2034
71.0,3082
72.0,6821
85.0,1281
87.0,1694
103.0,2414
106.0,4093
121.0,1292
320.06,1456
321.04,2395
323.17,3016
323.25,2521
