category1,Montlake2,Montlake4,Montlake5,Montlake6
Anthology/Essays/Short stories,0.0,0.0,0.047619047619047616,0.0
Art,0.041666666666666664,0.04,0.047619047619047616,0.0
Biography/Autobiography/Memoir,0.041666666666666664,0.08,0.047619047619047616,0.0
Business/Technology,0.041666666666666664,0.0,0.047619047619047616,0.0
Childrens,0.0,0.04,0.09523809523809523,0.0
Classics,0.0,0.0,0.0,0.0
Cookery,0.6666666666666666,0.08,0.047619047619047616,0.18181818181818182
Crafts,0.0,0.04,0.0,0.0
Cultural Studies,0.0,0.0,0.0,0.0
Drama,0.0,0.0,0.0,0.0
Graphic/Manga,0.0,0.0,0.0,0.0
History,0.0,0.0,0.09523809523809523,0.0
Music,0.0,0.0,0.0,0.0
Mystery,0.041666666666666664,0.16,0.0,0.09090909090909091
Nature/Gardening,0.0,0.04,0.0,0.0
Novel,0.0,0.32,0.19047619047619047,0.36363636363636365
Poetry,0.041666666666666664,0.0,0.0,0.09090909090909091
Reference,0.0,0.0,0.047619047619047616,0.0
Religion,0.0,0.0,0.0,0.0
Romance,0.0,0.0,0.0,0.0
SciFi/Fantasy,0.0,0.0,0.0,0.18181818181818182
Science,0.0,0.0,0.0,0.0
Self Help/Health,0.125,0.12,0.14285714285714285,0.0
Sports,0.0,0.04,0.047619047619047616,0.0
Thriller/Suspense,0.0,0.04,0.047619047619047616,0.09090909090909091
Travel,0.0,0.0,0.09523809523809523,0.0
novel,0.0,0.0,0.0,0.0
