category1,Phinney-Green1,Phinney-Green2,Phinney-Green3,Phinney-Green4,Phinney-Green5
Anthology/Essays/Short stories,0.0,0.0,0.0,0.03278688524590164,0.0
Art,0.0,0.0,0.0,0.0,0.0
Biography/Autobiography/Memoir,0.21428571428571427,0.0,0.014492753623188406,0.0,0.0
Business/Technology,0.0,0.034482758620689655,0.0,0.0,0.0
Childrens,0.0,0.1724137931034483,0.30434782608695654,0.39344262295081966,0.3333333333333333
Classics,0.0,0.0,0.0,0.0,0.0
Cookery,0.0,0.0,0.014492753623188406,0.0,0.0
Crafts,0.0,0.0,0.028985507246376812,0.0,0.0
Cultural Studies,0.0,0.0,0.028985507246376812,0.03278688524590164,0.0
Drama,0.07142857142857142,0.034482758620689655,0.0,0.0,0.0
Graphic/Manga,0.0,0.0,0.0,0.0,0.0
History,0.07142857142857142,0.0,0.07246376811594203,0.0,0.0
Music,0.0,0.0,0.0,0.0,0.0
Mystery,0.07142857142857142,0.13793103448275862,0.043478260869565216,0.11475409836065574,0.0
Nature/Gardening,0.0,0.0,0.0,0.0,0.0
Novel,0.35714285714285715,0.1724137931034483,0.21739130434782608,0.21311475409836064,0.05555555555555555
Poetry,0.0,0.034482758620689655,0.0,0.01639344262295082,0.0
Reference,0.0,0.0,0.0,0.0,0.0
Religion,0.0,0.034482758620689655,0.014492753623188406,0.0,0.0
Romance,0.07142857142857142,0.06896551724137931,0.0,0.03278688524590164,0.0
SciFi/Fantasy,0.0,0.034482758620689655,0.028985507246376812,0.04918032786885246,0.16666666666666666
Science,0.0,0.0,0.0,0.0,0.0
Self Help/Health,0.07142857142857142,0.2413793103448276,0.15942028985507245,0.01639344262295082,0.16666666666666666
Sports,0.0,0.0,0.014492753623188406,0.0,0.0
Thriller/Suspense,0.0,0.034482758620689655,0.028985507246376812,0.09836065573770492,0.2222222222222222
Travel,0.0,0.0,0.028985507246376812,0.0,0.05555555555555555
novel,0.07142857142857142,0.0,0.0,0.0,0.0
