category1,QueenAnne1,QueenAnne2,QueenAnne3,QueenAnne4,QueenAnne5
Anthology/Essays/Short stories,0.0,0.0,0.041666666666666664,0.038461538461538464,0.0
Art,0.0,0.0,0.0,0.0,0.0
Biography/Autobiography/Memoir,0.05263157894736842,0.0,0.041666666666666664,0.038461538461538464,0.041666666666666664
Business/Technology,0.0,0.0,0.0,0.0,0.0
Childrens,0.42105263157894735,0.42857142857142855,0.2916666666666667,0.11538461538461539,0.375
Classics,0.0,0.0,0.0,0.07692307692307693,0.041666666666666664
Cookery,0.05263157894736842,0.0,0.0,0.0,0.041666666666666664
Crafts,0.0,0.0,0.0,0.0,0.0
Cultural Studies,0.05263157894736842,0.21428571428571427,0.08333333333333333,0.038461538461538464,0.0
Drama,0.0,0.0,0.0,0.038461538461538464,0.0
Graphic/Manga,0.0,0.0,0.0,0.038461538461538464,0.0
History,0.0,0.0,0.0,0.0,0.0
Music,0.0,0.0,0.0,0.0,0.0
Mystery,0.0,0.0,0.041666666666666664,0.15384615384615385,0.16666666666666666
Nature/Gardening,0.0,0.0,0.0,0.0,0.0
Novel,0.3157894736842105,0.2857142857142857,0.16666666666666666,0.15384615384615385,0.125
Poetry,0.0,0.0,0.0,0.0,0.0
Reference,0.0,0.0,0.0,0.0,0.0
Religion,0.0,0.0,0.0,0.0,0.0
Romance,0.0,0.0,0.041666666666666664,0.07692307692307693,0.0
SciFi/Fantasy,0.0,0.0,0.125,0.038461538461538464,0.041666666666666664
Science,0.0,0.0,0.0,0.0,0.0
Self Help/Health,0.0,0.0,0.0,0.038461538461538464,0.08333333333333333
Sports,0.0,0.0,0.0,0.0,0.041666666666666664
Thriller/Suspense,0.10526315789473684,0.07142857142857142,0.125,0.15384615384615385,0.041666666666666664
Travel,0.0,0.0,0.0,0.0,0.0
novel,0.0,0.0,0.041666666666666664,0.0,0.0
