category1,Ravenna1,Ravenna2,Ravenna3,Ravenna4,Ravenna5,Ravenna6
Anthology/Essays/Short stories,0.0,0.02857142857142857,0.0,0.0,0.0,0.0
Art,0.0,0.0,0.0,0.0,0.0,0.0
Biography/Autobiography/Memoir,0.0,0.02857142857142857,0.09523809523809523,0.0,0.0,0.0
Business/Technology,0.0,0.0,0.0,0.0,0.0,0.0
Childrens,0.3684210526315789,0.0,0.19047619047619047,0.26666666666666666,0.19047619047619047,0.0
Classics,0.0,0.0,0.0,0.06666666666666667,0.0,0.07692307692307693
Cookery,0.0,0.0,0.047619047619047616,0.0,0.047619047619047616,0.0
Crafts,0.0,0.0,0.0,0.0,0.0,0.0
Cultural Studies,0.0,0.02857142857142857,0.0,0.06666666666666667,0.0,0.0
Drama,0.0,0.0,0.0,0.0,0.0,0.0
Graphic/Manga,0.0,0.0,0.047619047619047616,0.0,0.0,0.0
History,0.05263157894736842,0.0,0.0,0.13333333333333333,0.047619047619047616,0.07692307692307693
Music,0.0,0.02857142857142857,0.0,0.0,0.0,0.0
Mystery,0.21052631578947367,0.2,0.09523809523809523,0.2,0.19047619047619047,0.07692307692307693
Nature/Gardening,0.0,0.02857142857142857,0.0,0.0,0.0,0.0
Novel,0.10526315789473684,0.2,0.14285714285714285,0.13333333333333333,0.09523809523809523,0.3076923076923077
Poetry,0.05263157894736842,0.02857142857142857,0.0,0.0,0.0,0.0
Reference,0.0,0.0,0.0,0.0,0.0,0.0
Religion,0.05263157894736842,0.0,0.0,0.0,0.0,0.0
Romance,0.0,0.22857142857142856,0.047619047619047616,0.0,0.0,0.0
SciFi/Fantasy,0.10526315789473684,0.11428571428571428,0.14285714285714285,0.0,0.2857142857142857,0.07692307692307693
Science,0.0,0.02857142857142857,0.047619047619047616,0.0,0.0,0.0
Self Help/Health,0.0,0.0,0.047619047619047616,0.0,0.09523809523809523,0.15384615384615385
Sports,0.0,0.0,0.047619047619047616,0.0,0.0,0.0
Thriller/Suspense,0.05263157894736842,0.05714285714285714,0.0,0.13333333333333333,0.047619047619047616,0.15384615384615385
Travel,0.0,0.0,0.047619047619047616,0.0,0.0,0.07692307692307693
novel,0.0,0.0,0.0,0.0,0.0,0.0
