collection,width,length,height,volMeters,housePrice,address,priceLastSold,yearLastSold,adjPrice,specific,current,variety,kids,religion,porn
CentralDistrict1,0,0,0,0,0,2423 E Union St,0,0,0,n,n,n,n,n,n
CentralDistrict2,22,11,12,0.047588,"730,824",1829 Martin Luther King Jr. Way,459900,2010,536554.0424,n,n,n,n,n,n
CentralDistrict3,23,11,14,0.058043,"667,296",210 30th Ave.,60500,1989,124155.9225,n,n,n,n,n,n
CentralDistrict4,16,13.5,21,0.074332,"764,635",3001 E. Harrison St.,325000,2004,437730.5987,n,n,n,n,y,n
CentralDistrict5,13,14.5,12,0.037067,1278803,331 30th Ave.,757500,2013,827225.2702,n,n,y,y,n,n
CentralDistrict6,16.5,9,20,0.04867,877110,537 Temple Pl.,339000,2002,479452.9534,n,y,n,n,n,n
ColumbiaCity1,15.5,10.75,21,0.05734,620272,5107 46th Ave S,157000,1999,239776.6772,n,n,n,n,n,n
ColumbiaCity2,19.5,14,14,0.062631,611462,3948 S Hudson St.,270000,2002,381865.1842,n,n,n,n,n,n
ColumbiaCity3,21,12,19,0.078461,698514,3080 S Andover St.,117500,2003,162493.3477,n,n,n,n,n,n
ColumbiaCity4,16.5,11,15,0.044614,579426,3414 35th Ave S.,501500,2017,520487.1418,n,n,n,n,y,y
ColumbiaCity5,15,8.5,17,0.035519,642653,4048 39th Ave S,254000,2004,342103.2987,n,n,n,n,n,n
Laurelhurst1,16,13,16,0.054536,958935,4709 46th Ave NE,188000,1997,297957.7826,y,n,n,y,n,n
Laurelhurst2,22,13,23,0.107794,1446525,4742 48th Ave NE,685000,2004,922601.4158,n,n,n,n,n,n
Laurelhurst3,18,12,19,0.067252,1746975,6500 55th Ave NE,984000,2008,1162687.846,n,n,n,n,n,y
Laurelhurst4,19,13,15,0.060714,1922694,6522 50th Ave NE,189070,1998,295073.3674,n,n,n,n,n,n
Laurelhurst5,15,15,15,0.055306,1497532,6116 65th Ave NE,522500,2003,722576.8014,n,n,n,n,n,y
Laurelhurst6,16,12,14,0.044048,2298775,3916 NE Surber Dr.,1250000,2003,1728652.635,n,n,n,n,n,n
Montlake2,10,18,20,0.058993,1460914,1627 E. Calhoun St.,160000,1984,391824.2874,n,n,n,n,n,n
Montlake4,10,18,20,0.058993,974825,2307 22nd Ave E.,,,,n,n,n,n,y,n
Montlake5,15,13,15,0.047932,1090502,2505 20th Ave E,517000,2003,714970.7298,y,n,n,y,n,n
Montlake6,14,10,17,0.039001,911023,2240 E. Blaine St.,590000,2013,644307.4712,n,n,n,y,y,n
Northgate1,15,13,15,0.047932,705663,9000 5th Ave NE,,,,y,n,n,y,n,n
Northgate2,12,12,20,0.047195,843520,530 NE 100th St.,219950,1999,335916.434,y,n,n,n,y,y
Northgate3,32,32,76,1.275305,commercial,Commercial,,,,n,n,n,n,n,n
Northgate4,15,13,15,0.047932,890738,1710 NE 86th St,440000,2013,480500.487,n,n,n,n,y,n
Northgate5,15,13,15,0.047932,854043,846 NE 94th St.,522500,2006,659372.3849,n,n,y,n,n,n
Phinney-Green1,14,11,16,0.040378,575928,8713 9th Ave. NW,134950,1997,213879.8019,y,y,n,n,n,n
Phinney-Green2,22,14,19,0.095897,746703,520 N 78th,380000,2012,421056.4828,n,n,n,n,n,n
Phinney-Green3,22,17,34,0.208378,839515,7714 6th Ave NW,409000,2012,453189.7407,n,n,n,n,n,n
Phinney-Green4,22,15,25,0.135193,822764,9716 Phinney Ave N.,315000,2002,445509.3815,n,n,n,n,y,n
Phinney-Green5,15,13,19,0.060714,1244819,7026 Palatine Ave N.,430000,1999,656713.1923,n,n,n,n,n,n
QueenAnne1,18,16,25,0.117987,1117562,1954 4th Ave W,193800,1996,314330.3793,n,n,y,n,n,n
QueenAnne2,15.5,11.5,15,0.043815,610000,APT! 1629 Queen Anne Ave N,,,,n,y,n,n,n,n
QueenAnne3,16,16.5,20,0.086524,1495000,2406 2nd Ave W.,899000,2013,981749.8587,n,n,n,n,n,n
QueenAnne4,16,13,20,0.06817,1175398,165 Aloha St.,475000,2005,618766.6962,n,n,n,n,y,n
QueenAnne5,13.5,11,15,0.036502,1180137,220 W Howe St.,105000,1985,248329.6411,n,n,n,n,n,y
Ravenna1,16.5,11,22,0.065433,1002463,1211 NE 70th St,610000,2006,769793.5977,n,n,y,y,n,n
Ravenna2,23,12,14,0.06332,866949,7309 Ravenna Ave NE,280000,2000,413658.5366,n,n,n,n,n,n
Ravenna3,17,17,21,0.099453,1246533,6211 Ravenna Ave NE,885000,2014,951033.2598,n,n,n,y,y,n
Ravenna4,13,15,11,0.03515,815594,6251 38th Ave NE,420000,2010,490003.6917,n,n,y,n,y,n
Ravenna5,13,15,16,0.051128,817437,4025 NE 58th St.,690000,2016,731378.0587,n,n,n,n,n,n
Ravenna6,19,13,14,0.056666,646140,2219 NE 82nd St,281000,2003,388601.1123,n,n,n,n,y,n
