household_income,tract
118770,323.09
102639,317.04
119250,323.13
72569,323.19
210341,323.21
106855,323.24
119813,324.01
54879,288.02
92531,293.04
97372,301.0
81054,303.04
63516,306.0
50926,308.02
114792,310.0
112050,318.0
83611,303.1
39835,292.03
96917,295.02
46697,295.04
50191,307.0
59924,309.02
75476,313.01
92279,315.01
77593,315.02
104330,319.06
108256,319.09
149385,322.12
166591,323.16
161806,323.2
107044,327.02
176607,323.22
102348,327.04
75649,312.06
66250,302.01
82955,304.01
82917,312.05
109764,316.01
95300,293.06
50817,294.08
73610,296.01
63536,109.0
112224,67.0
87188,101.0
84491,111.02
104583,325.0
32262,4.01
70250,13.0
110139,15.0
106458,21.0
82268,36.0
124792,38.0
109055,61.0
150943,326.02
100260,327.03
64802,311.0
96667,312.02
113472,25.0
115000,26.0
105536,45.0
91288,47.0
120318,51.0
76978,319.08
146750,5.0
138224,9.0
81250,11.0
124107,28.0
110202,29.0
123698,31.0
103333,39.0
127373,42.0
130909,46.0
113670,60.0
135956,63.0
113397,77.0
70000,83.0
99167,89.0
34650,91.0
65255,94.0
102569,96.0
110368,97.01
81066,99.0
83786,117.0
111026,102.0
83245,105.0
53295,111.01
115058,201.0
74643,207.0
107544,208.0
93036,209.0
90806,210.0
109943,220.01
71607,205.0
113438,214.0
111497,220.03
166786,223.0
116279,48.0
106391,222.02
135200,222.03
84583,58.01
73792,4.02
101270,54.0
180761,323.18
110625,226.06
96563,244.0
93571,260.01
69790,2.0
74063,70.0
95075,95.0
48212,284.03
30756,305.01
51559,313.02
126096,16.0
163864,239.0
60482,279.0
89375,32.0
170031,56.0
85750,93.0
80227,213.0
68762,298.01
120189,97.02
125339,216.0
70234,309.01
80208,40.0
173438,78.0
86696,3.0
113188,33.0
93811,204.02
90270,220.06
127750,226.04
143920,227.02
100903,228.01
136250,228.03
135185,230.0
102580,236.03
100461,257.02
53877,264.0
43646,271.0
75449,274.0
60989,275.0
63692,288.01
72513,289.01
67423,292.04
107153,293.05
68449,300.03
65302,302.02
65483,303.05
48019,305.03
60558,305.04
46496,308.01
90781,312.04
99722,319.04
97688,320.08
168068,322.07
124252,322.1
110063,320.03
105268,320.07
133603,323.11
99706,115.0
107201,116.0
86750,206.0
81796,217.0
84362,218.03
97670,219.06
51689,300.04
83442,303.11
63897,303.12
96489,304.04
59833,314.0
95313,317.03
59807,7.0
135088,22.0
118750,24.0
103470,30.0
106995,66.0
127702,69.0
81736,82.0
58827,118.0
85398,202.0
66734,203.0
125481,215.0
126269,221.02
127708,227.03
103750,65.0
68838,75.0
125196,80.01
68884,81.0
51190,86.0
71033,204.01
92756,108.0
48864,112.0
93862,119.0
83125,218.04
94390,220.05
100069,222.01
119567,231.0
98805,233.0
84583,234.01
109567,59.0
41089,52.0
117449,57.0
71715,58.02
179922,62.0
100317,73.0
80152,76.0
78846,79.0
21387,92.0
104474,120.0
81207,211.0
99051,219.04
92333,219.05
134665,227.01
97241,232.01
196250,242.0
111950,243.0
216488,246.02
96471,248.0
170119,249.03
152560,250.03
97250,252.0
52242,261.0
83919,267.0
57448,273.0
77455,276.0
84271,294.05
119423,296.02
83264,299.01
89736,303.06
70550,303.08
63158,303.09
79394,304.03
51006,284.02
222500,241.0
122647,247.02
147450,249.01
142738,324.02
92377,328.0
45925,12.0
50948,1.0
105286,8.0
83295,10.0
84395,19.0
106172,34.0
163032,229.02
99696,226.03
103112,226.05
128088,228.02
58846,232.02
121250,237.0
202827,245.0
203313,246.01
66433,255.0
62953,257.01
39301,265.0
54844,270.0
71444,277.01
57267,282.0
91806,35.0
63344,44.0
20950,53.01
157670,64.0
60699,80.02
60910,84.0
120608,88.0
43438,90.0
114212,98.0
58335,260.02
72942,236.04
145221,229.01
127200,235.0
158909,249.02
87448,251.01
59952,254.0
67985,258.03
74395,266.0
49260,268.01
59438,272.0
72835,290.01
79158,294.03
53056,294.07
45804,295.03
93750,218.02
91938,247.01
95313,219.03
119653,221.01
106000,236.01
59225,262.0
90487,277.02
90133,298.02
92632,299.02
147525,323.23
115493,319.03
113651,321.02
152059,322.11
63705,6.0
75040,263.0
100077,278.0
49773,280.0
56629,113.0
83897,283.0
69036,285.0
84964,286.0
51507,290.03
65799,293.03
102566,293.07
98889,294.06
51362,297.0
110139,316.03
95658,319.07
98274,320.02
79073,321.03
127434,323.07
96250,320.05
149743,322.03
106971,322.08
104776,326.01
92059,14.0
102917,18.0
99726,20.0
69596,17.01
79375,17.02
95463,43.01
30679,43.02
71453,74.01
55181,74.02
63891,100.01
74953,100.02
78407,104.01
81979,104.02
67617,107.01
46731,107.02
32247,110.01
53300,110.02
68333,114.01
50285,114.02
117917,234.03
152750,234.04
107927,238.03
115343,238.04
120231,250.05
151820,250.06
81216,253.01
47755,253.02
72500,256.01
113682,256.02
66633,258.05
85031,258.06
81143,291.01
92782,291.02
68186,292.05
32554,292.06
62036,300.05
46488,300.06
47297,303.13
41359,303.14
97041,316.04
119466,320.1
104883,316.05
110551,317.05
88791,317.06
118548,320.11
176389,322.13
176375,322.14
217574,322.15
165000,323.26
108080,323.27
165425,323.28
146596,323.29
-666666666,9901.0
118382,224.0
125600,225.0
103875,238.01
140026,240.0
122063,250.01
100069,251.02
82222,258.04
53750,268.02
61985,281.0
85598,287.0
51048,289.02
38295,290.04
149688,323.15
128292,27.0
175735,41.0
95917,49.0
87112,50.0
-666666666,53.02
116111,68.0
84112,71.0
113125,72.0
50250,85.0
83090,87.0
63493,103.0
105896,106.0
116836,121.0
95408,320.06
102806,321.04
170063,323.17
106197,323.25
